;massa_A;
t;x;y
0.000;-0.485;0.156
0.017;-0.485;0.156
0.033;-0.485;0.156
0.050;-0.485;0.156
0.067;-0.485;0.156
0.083;-0.485;0.156
0.100;-0.485;0.156
0.117;-0.485;0.156
0.133;-0.485;0.156
0.150;-0.485;0.156
0.167;-0.485;0.156
0.183;-0.484;0.156
0.200;-0.484;0.156
0.217;-0.484;0.156
0.233;-0.484;0.156
0.250;-0.484;0.156
0.267;-0.484;0.156
0.283;-0.484;0.156
0.300;-0.484;0.156
0.317;-0.484;0.156
0.333;-0.484;0.156
0.350;-0.484;0.156
0.367;-0.484;0.156
0.383;-0.484;0.156
0.400;-0.484;0.156
0.417;-0.484;0.156
0.433;-0.484;0.156
0.450;-0.484;0.156
0.467;-0.482;0.155
0.483;-0.480;0.153
0.500;-0.476;0.152
0.517;-0.472;0.150
0.533;-0.466;0.147
0.550;-0.460;0.144
0.567;-0.452;0.141
0.583;-0.444;0.137
0.600;-0.434;0.134
0.616;-0.424;0.129
0.633;-0.412;0.125
0.650;-0.400;0.120
0.667;-0.387;0.116
0.683;-0.372;0.111
0.700;-0.357;0.106
0.717;-0.340;0.101
0.733;-0.323;9.636E-2
0.750;-0.305;9.181E-2
0.767;-0.286;8.743E-2
0.783;-0.267;8.325E-2
0.800;-0.246;7.940E-2
0.816;-0.225;7.580E-2
0.833;-0.204;7.249E-2
0.850;-0.182;6.976E-2
0.866;-0.160;6.726E-2
0.883;-0.137;6.557E-2
0.900;-0.114;6.423E-2
0.917;-9.037E-2;6.331E-2
0.933;-6.674E-2;6.311E-2
0.950;-4.321E-2;6.341E-2
0.966;-1.959E-2;6.429E-2
0.983;4.093E-3;6.564E-2
1.000;2.758E-2;6.761E-2
1.016;5.071E-2;7.010E-2
1.033;7.366E-2;7.303E-2
1.050;9.602E-2;7.652E-2
1.066;0.118;8.031E-2
1.083;0.140;8.456E-2
1.100;0.161;8.919E-2
1.116;0.181;9.424E-2
1.133;0.201;9.934E-2
1.150;0.220;0.105
1.166;0.238;0.110
1.183;0.255;0.116
1.200;0.271;0.122
1.216;0.287;0.127
1.233;0.301;0.133
1.250;0.315;0.138
1.266;0.328;0.144
1.283;0.339;0.149
1.300;0.350;0.154
1.316;0.360;0.158
1.333;0.369;0.162
1.350;0.376;0.166
1.366;0.383;0.169
1.383;0.389;0.172
1.400;0.393;0.174
1.416;0.397;0.176
1.433;0.399;0.177
1.450;0.401;0.178
1.466;0.401;0.178
1.483;0.401;0.178
1.500;0.399;0.177
1.516;0.396;0.175
1.533;0.393;0.173
1.550;0.388;0.171
1.566;0.382;0.168
1.583;0.376;0.165
1.600;0.368;0.161
1.616;0.359;0.157
1.633;0.349;0.152
1.650;0.339;0.147
1.666;0.327;0.142
1.683;0.315;0.137
1.700;0.302;0.132
1.716;0.287;0.126
1.733;0.272;0.121
1.750;0.256;0.115
1.766;0.239;0.109
1.783;0.221;0.104
1.800;0.203;9.849E-2
1.816;0.184;9.337E-2
1.833;0.164;8.850E-2
1.849;0.144;8.375E-2
1.866;0.123;7.949E-2
1.883;0.101;7.583E-2
1.900;7.952E-2;7.226E-2
1.916;5.720E-2;6.929E-2
1.933;3.464E-2;6.666E-2
1.950;1.193E-2;6.474E-2
1.966;-1.116E-2;6.329E-2
1.983;-3.429E-2;6.235E-2
2.000;-5.767E-2;6.202E-2
2.016;-8.102E-2;6.216E-2
2.033;-0.104;6.272E-2
2.049;-0.127;6.385E-2
2.066;-0.150;6.567E-2
2.083;-0.172;6.790E-2
2.099;-0.194;7.065E-2
2.116;-0.216;7.378E-2
2.133;-0.237;7.731E-2
2.149;-0.257;8.111E-2
2.166;-0.277;8.527E-2
2.183;-0.297;8.973E-2
2.199;-0.315;9.452E-2
2.216;-0.333;9.940E-2
2.233;-0.350;0.104
2.249;-0.366;0.109
2.266;-0.381;0.114
2.283;-0.395;0.119
2.299;-0.408;0.124
2.316;-0.420;0.129
2.333;-0.431;0.133
2.349;-0.440;0.137
2.366;-0.450;0.141
2.383;-0.457;0.144
2.399;-0.464;0.147
2.416;-0.470;0.150
2.433;-0.475;0.152
2.449;-0.478;0.154
2.466;-0.481;0.155
2.483;-0.482;0.156
2.499;-0.482;0.156
2.516;-0.481;0.156
2.533;-0.480;0.155
2.549;-0.477;0.154
2.566;-0.473;0.152
2.583;-0.468;0.150
2.599;-0.461;0.147
2.616;-0.454;0.144
2.633;-0.446;0.141
2.649;-0.437;0.137
2.666;-0.427;0.133
2.683;-0.416;0.129
2.699;-0.403;0.124
2.716;-0.391;0.120
2.733;-0.377;0.115
2.749;-0.362;0.110
2.766;-0.346;0.105
2.783;-0.330;0.101
2.799;-0.313;9.580E-2
2.816;-0.295;9.137E-2
2.833;-0.276;8.713E-2
2.849;-0.257;8.308E-2
2.866;-0.237;7.933E-2
2.883;-0.217;7.595E-2
2.899;-0.196;7.300E-2
2.916;-0.175;7.044E-2
2.933;-0.154;6.824E-2
2.949;-0.132;6.644E-2
2.966;-0.109;6.522E-2
2.983;-8.703E-2;6.435E-2
2.999;-6.454E-2;6.400E-2
3.016;-4.192E-2;6.426E-2
3.033;-1.938E-2;6.490E-2
3.049;3.169E-3;6.613E-2
3.066;2.563E-2;6.781E-2
3.082;4.797E-2;7.001E-2
3.099;7.003E-2;7.257E-2
3.116;9.174E-2;7.562E-2
3.133;0.113;7.901E-2
3.149;0.134;8.294E-2
3.166;0.154;8.714E-2
3.183;0.174;9.167E-2
3.199;0.194;9.648E-2
3.216;0.213;0.101
3.233;0.231;0.107
3.249;0.249;0.112
3.266;0.265;0.118
3.282;0.281;0.123
3.299;0.296;0.129
3.316;0.310;0.134
3.332;0.324;0.139
3.349;0.336;0.145
3.366;0.348;0.149
3.383;0.358;0.154
3.399;0.368;0.158
3.416;0.376;0.162
3.432;0.383;0.166
3.449;0.390;0.169
3.466;0.395;0.171
3.482;0.399;0.173
3.499;0.402;0.175
3.516;0.404;0.176
3.532;0.405;0.176
3.549;0.405;0.176
3.566;0.404;0.175
3.582;0.401;0.174
3.599;0.398;0.172
3.616;0.393;0.170
3.632;0.387;0.167
3.649;0.380;0.163
3.666;0.372;0.159
3.682;0.364;0.155
3.699;0.353;0.150
3.716;0.343;0.145
3.732;0.331;0.141
3.749;0.317;0.135
3.766;0.303;0.130
3.782;0.288;0.124
3.799;0.272;0.118
3.816;0.255;0.112
3.832;0.238;0.107
3.849;0.219;0.101
3.866;0.200;9.581E-2
3.882;0.180;9.088E-2
3.899;0.160;8.603E-2
3.916;0.139;8.173E-2
3.932;0.118;7.766E-2
3.949;9.575E-2;7.408E-2
3.966;7.356E-2;7.076E-2
3.982;5.115E-2;6.797E-2
3.999;2.840E-2;6.588E-2
4.016;5.633E-3;6.423E-2
4.032;-1.703E-2;6.302E-2
4.049;-3.986E-2;6.246E-2
4.066;-6.268E-2;6.238E-2
4.082;-8.518E-2;6.267E-2
4.099;-0.108;6.368E-2
4.115;-0.130;6.497E-2
4.132;-0.152;6.673E-2
4.149;-0.173;6.899E-2
4.166;-0.194;7.172E-2
4.182;-0.215;7.483E-2
4.199;-0.235;7.815E-2
4.216;-0.254;8.183E-2
4.232;-0.273;8.585E-2
4.249;-0.291;9.010E-2
4.266;-0.309;9.460E-2
4.282;-0.325;9.915E-2
4.299;-0.341;0.104
4.316;-0.357;0.108
4.332;-0.371;0.113
4.349;-0.385;0.118
4.366;-0.397;0.122
4.382;-0.409;0.127
4.399;-0.419;0.131
4.416;-0.429;0.135
4.432;-0.438;0.139
4.449;-0.446;0.142
4.466;-0.453;0.145
4.482;-0.459;0.148
4.499;-0.464;0.150
4.516;-0.468;0.152
