;massa_A;
t;x;y
0.000;-0.459;0.176
0.033;-0.459;0.176
0.067;-0.459;0.177
0.100;-0.459;0.176
0.133;-0.459;0.176
0.167;-0.459;0.176
0.200;-0.459;0.176
0.233;-0.459;0.176
0.267;-0.459;0.177
0.300;-0.458;0.176
0.333;-0.455;0.174
0.367;-0.446;0.171
0.400;-0.432;0.166
0.433;-0.415;0.159
0.467;-0.393;0.150
0.500;-0.368;0.140
0.533;-0.339;0.129
0.566;-0.308;0.122
0.600;-0.273;0.113
0.633;-0.238;0.103
0.666;-0.199;9.468E-2
0.700;-0.157;8.685E-2
0.733;-0.110;8.064E-2
0.766;-6.446E-2;7.808E-2
0.800;-1.931E-2;7.438E-2
0.833;2.574E-2;6.951E-2
0.866;7.116E-2;7.140E-2
0.900;0.118;7.587E-2
0.933;0.167;7.898E-2
0.966;0.208;8.706E-2
1.000;0.249;9.208E-2
1.033;0.288;9.541E-2
1.066;0.325;0.107
1.100;0.359;0.117
1.133;0.392;0.123
1.166;0.420;0.135
1.200;0.442;0.142
1.233;0.460;0.145
1.266;0.475;0.152
1.300;0.489;0.159
1.333;0.499;0.162
1.366;0.507;0.166
1.400;0.505;0.167
1.433;0.502;0.164
1.466;0.493;0.159
1.499;0.482;0.156
1.533;0.470;0.151
1.566;0.453;0.144
1.599;0.430;0.137
1.633;0.402;0.127
1.666;0.371;0.119
1.699;0.338;0.112
1.733;0.307;0.102
1.766;0.270;9.228E-2
1.799;0.229;8.923E-2
1.833;0.183;8.255E-2
1.866;0.139;7.698E-2
1.899;9.386E-2;7.261E-2
1.933;5.064E-2;7.215E-2
1.966;6.546E-3;7.221E-2
1.999;-3.924E-2;7.462E-2
2.033;-8.503E-2;8.205E-2
2.066;-0.130;8.462E-2
2.099;-0.172;8.944E-2
2.133;-0.209;9.974E-2
2.166;-0.244;0.107
2.199;-0.280;0.114
2.233;-0.312;0.125
2.266;-0.342;0.132
2.299;-0.366;0.139
2.333;-0.387;0.149
2.366;-0.405;0.156
2.399;-0.418;0.159
2.433;-0.427;0.165
2.466;-0.438;0.169
2.499;-0.442;0.169
2.533;-0.438;0.169
2.566;-0.430;0.167
2.599;-0.422;0.162
2.633;-0.412;0.157
2.666;-0.397;0.152
2.699;-0.377;0.145
2.733;-0.355;0.137
2.766;-0.329;0.128
2.799;-0.296;0.117
2.832;-0.265;0.109
2.866;-0.232;0.104
2.899;-0.194;9.557E-2
2.932;-0.155;8.709E-2
2.966;-0.112;8.177E-2
2.999;-6.834E-2;7.757E-2
3.032;-2.393E-2;7.431E-2
3.066;1.999E-2;7.222E-2
3.099;6.140E-2;7.215E-2
