;massa_A;
t;x;y
0.000;-0.462;0.194
0.033;-0.463;0.194
0.067;-0.463;0.194
0.100;-0.463;0.194
0.133;-0.462;0.194
0.167;-0.462;0.194
0.200;-0.462;0.194
0.233;-0.462;0.194
0.267;-0.462;0.194
0.300;-0.462;0.194
0.333;-0.462;0.194
0.367;-0.462;0.194
0.400;-0.463;0.194
0.433;-0.463;0.194
0.467;-0.463;0.194
0.500;-0.463;0.194
0.533;-0.462;0.194
0.566;-0.462;0.194
0.600;-0.462;0.194
0.633;-0.462;0.194
0.666;-0.462;0.194
0.700;-0.462;0.194
0.733;-0.462;0.194
0.766;-0.462;0.194
0.800;-0.462;0.194
0.833;-0.462;0.194
0.866;-0.462;0.194
0.900;-0.462;0.194
0.933;-0.462;0.194
0.966;-0.462;0.194
1.000;-0.462;0.194
1.033;-0.462;0.194
1.066;-0.463;0.194
1.100;-0.463;0.194
1.133;-0.463;0.194
1.166;-0.463;0.194
1.200;-0.463;0.194
1.233;-0.463;0.194
1.266;-0.463;0.194
1.300;-0.464;0.194
1.333;-0.464;0.194
1.366;-0.466;0.194
1.400;-0.464;0.193
1.433;-0.457;0.189
1.466;-0.444;0.182
1.500;-0.430;0.175
1.533;-0.408;0.169
1.566;-0.384;0.161
1.599;-0.355;0.151
1.633;-0.322;0.136
1.666;-0.289;0.124
1.699;-0.255;0.114
1.733;-0.217;0.107
1.766;-0.176;9.883E-2
1.799;-0.132;9.026E-2
1.833;-8.548E-2;8.301E-2
1.866;-4.022E-2;7.985E-2
1.899;6.495E-3;7.738E-2
1.933;5.486E-2;7.337E-2
1.966;0.105;7.171E-2
1.999;0.154;7.444E-2
2.033;0.201;8.037E-2
2.066;0.244;8.794E-2
2.099;0.288;9.489E-2
2.133;0.326;0.102
2.166;0.363;0.110
2.199;0.396;0.118
2.233;0.425;0.126
2.266;0.453;0.133
2.299;0.474;0.138
2.333;0.491;0.146
2.366;0.507;0.155
2.399;0.517;0.161
2.433;0.524;0.164
2.466;0.527;0.163
2.499;0.528;0.163
2.532;0.524;0.161
2.566;0.515;0.156
2.599;0.501;0.150
2.632;0.482;0.143
2.666;0.458;0.135
2.699;0.430;0.128
2.733;0.400;0.120
2.766;0.368;0.112
2.799;0.332;0.102
2.833;0.294;9.388E-2
2.866;0.252;8.711E-2
2.899;0.210;8.159E-2
2.932;0.164;7.768E-2
2.966;0.118;7.495E-2
2.999;7.064E-2;7.379E-2
3.032;2.259E-2;7.510E-2
3.066;-2.663E-2;7.732E-2
3.099;-7.393E-2;8.040E-2
3.133;-0.121;8.723E-2
3.166;-0.166;9.657E-2
3.199;-0.206;0.106
3.233;-0.245;0.115
3.266;-0.281;0.125
3.299;-0.315;0.135
3.333;-0.344;0.143
3.366;-0.373;0.153
3.399;-0.398;0.163
3.433;-0.416;0.172
3.466;-0.432;0.179
3.499;-0.444;0.184
3.533;-0.454;0.189
3.566;-0.459;0.191
3.599;-0.459;0.192
3.633;-0.456;0.189
3.666;-0.448;0.184
3.699;-0.438;0.178
3.733;-0.418;0.172
3.766;-0.401;0.166
3.799;-0.375;0.156
3.832;-0.348;0.146
3.866;-0.320;0.135
3.899;-0.285;0.123
3.932;-0.249;0.114
3.966;-0.210;0.106
3.999;-0.169;9.716E-2
4.032;-0.125;8.822E-2
4.066;-7.985E-2;8.217E-2
4.099;-3.285E-2;7.912E-2
4.132;1.488E-2;7.659E-2
4.166;6.309E-2;7.206E-2
4.199;0.111;7.115E-2
4.232;0.158;7.601E-2
4.266;0.203;8.169E-2
4.299;0.245;8.791E-2
4.332;0.287;9.441E-2
4.366;0.326;0.102
4.399;0.361;0.110
4.432;0.394;0.118
4.466;0.426;0.125
4.499;0.453;0.132
4.532;0.475;0.140
4.566;0.491;0.148
4.599;0.506;0.156
4.632;0.516;0.161
4.666;0.525;0.163
4.699;0.528;0.163
4.732;0.528;0.163
4.765;0.521;0.160
4.799;0.510;0.155
4.832;0.494;0.148
4.865;0.477;0.142
4.899;0.453;0.136
4.932;0.427;0.128
4.965;0.398;0.120
4.999;0.363;0.110
5.032;0.330;0.101
5.065;0.291;9.424E-2
5.099;0.249;8.753E-2
5.132;0.206;8.206E-2
5.165;0.159;7.774E-2
5.199;0.111;7.495E-2
5.232;6.521E-2;7.410E-2
